Pokedex_Number,Name,Type_1,Type_2,HP,Attack,Defense
1,Bulbasaur,Dragon,None,44,136,101
1,Bulbasaur,Dragon,None,44,136,101
1,Bulbasaur,Dragon,None,44,136,101
1,Bulbasaur,Dragon,None,44,136,101
1,Bulbasaur,Dragon,None,44,136,101
2,Ivysaur,Dragon,Ghost,104,104,117
3,Venusaur,Electric,Ice,82,31,117
4,Charmander,Ice,Fire,50,62,105
5,Charmeleon,Flying,Fire,88,71,121
6,Charizard,Bug,Dark,80,137,84
7,Squirtle,Grass,None,50,102,68
8,Wartortle,Electric,None,43,143,38
9,Blastoise,Water,None,140,89,100
10,Caterpie,Dark,Water,110,65,79
11,Metapod,Electric,Flying,83,135,33
12,Butterfree,Steel,None,43,124,77
13,Weedle,Dark,None,69,114,109
14,Kakuna,Steel,None,53,55,118
15,Beedrill,Poison,Psychic,44,74,94
16,Pidgey,Dragon,Bug,158,137,37
17,Pidgeotto,Fighting,Dragon,62,34,135
18,Pidgeot,Fairy,None,101,41,63
19,Rattata,Bug,Poison,91,117,66
20,Raticate,Flying,None,64,94,128
21,Spearow,Rock,None,30,34,119
22,Fearow,Ground,Steel,44,119,71
23,Ekans,Dragon,Steel,125,33,123
24,Arbok,Dragon,Rock,58,65,42
25,Pikachu,Dragon,Fighting,115,57,95
26,Raichu,Poison,Fighting,57,57,137
27,Sandshrew,Fighting,Poison,121,118,132
28,Sandslash,Fire,Fighting,56,91,145
29,Nidoran♀,Fairy,Flying,91,66,126
30,Nidorina,Normal,Poison,88,147,61
31,Nidoqueen,Fairy,Rock,91,142,87
32,Nidoran♂,Flying,Fairy,159,32,142
33,Nidorino,Ghost,None,142,31,31
34,Nidoking,Psychic,Poison,158,48,31
35,Clefairy,Flying,Ghost,97,84,104
36,Clefable,Ghost,None,53,98,145
37,Vulpix,Ice,Rock,126,102,88
38,Ninetales,Bug,Water,119,96,48
39,Jigglypuff,Dragon,Ice,157,68,111
40,Wigglytuff,Fire,None,71,128,36
41,Zubat,Bug,None,89,142,31
42,Golbat,Bug,None,66,61,148
43,Oddish,Fairy,Poison,77,109,32
44,Gloom,Fire,None,104,142,101
45,Vileplume,Ice,None,141,118,128
46,Paras,Steel,Ice,111,95,83
47,Parasect,Bug,None,97,62,43
48,Venonat,Bug,None,157,37,36
49,Venomoth,Ghost,Fighting,144,115,148
50,Diglett,Ground,None,138,80,83
51,Dugtrio,Water,Poison,126,57,140
52,Meowth,Fire,Dark,90,77,48
53,Persian,Grass,None,46,73,121
54,Psyduck,Ground,None,128,134,66
55,Golduck,Ghost,None,124,128,89
56,Mankey,Fire,Flying,157,47,54
57,Primeape,Grass,None,53,143,61
58,Growlithe,Water,Normal,159,119,46
59,Arcanine,Fire,Ice,68,122,71
60,Poliwag,Grass,Normal,42,89,36
61,Poliwhirl,Electric,None,94,37,139
62,Poliwrath,Ground,None,121,127,95
63,Abra,Ghost,Water,99,44,83
64,Kadabra,Psychic,None,82,89,137
65,Alakazam,Psychic,Ghost,35,138,125
66,Machop,Rock,None,81,45,42
67,Machoke,Normal,Flying,149,92,48
68,Machamp,Psychic,Dark,91,52,38
69,Bellsprout,Fire,Dragon,30,140,63
70,Weepinbell,Bug,Dragon,146,30,45
71,Victreebel,Dragon,None,98,51,122
72,Tentacool,Grass,Normal,115,86,58
73,Tentacruel,Psychic,Electric,123,139,91
74,Geodude,Psychic,Steel,114,68,129
75,Graveler,Psychic,Rock,39,147,98
76,Golem,Water,Normal,125,30,149
77,Ponyta,Poison,Ice,53,109,148
78,Rapidash,Ghost,None,113,53,41
79,Slowpoke,Grass,None,130,41,96
80,Slowbro,Fire,None,72,73,58
81,Magnemite,Flying,Electric,159,144,143
82,Magneton,Ghost,None,122,55,103
83,Farfetch'd,Water,Normal,87,146,143
84,Doduo,Fighting,None,50,65,39
85,Dodrio,Fairy,None,128,141,65
86,Seel,Ghost,None,66,41,142
87,Dewgong,Poison,None,128,134,59
88,Grimer,Ghost,None,141,118,115
89,Muk,Ghost,Water,105,38,100
90,Shellder,Ground,None,81,112,140
91,Cloyster,Psychic,Fighting,54,81,114
92,Gastly,Bug,None,138,82,71
93,Haunter,Dragon,None,151,34,64
94,Gengar,Fighting,None,105,38,103
95,Onix,Flying,None,36,75,42
96,Drowzee,Normal,Rock,56,95,34
97,Hypno,Psychic,Fairy,138,94,115
98,Krabby,Ghost,None,74,33,65
99,Kingler,Flying,None,120,103,119
100,Voltorb,Dragon,Bug,155,87,49
101,Electrode,Dark,Electric,134,68,30
102,Exeggcute,Poison,Fairy,142,54,85
103,Exeggutor,Ice,Bug,87,73,74
104,Cubone,Poison,Water,109,147,114
105,Marowak,Psychic,Normal,49,86,47
106,Hitmonlee,Fairy,Dark,30,146,83
107,Hitmonchan,Grass,None,41,103,125
108,Lickitung,Dark,Rock,146,37,121
109,Koffing,Dark,Ground,57,121,130
110,Weezing,Electric,None,75,64,35
111,Rhyhorn,Psychic,None,39,85,59
112,Rhydon,Poison,Ice,62,147,94
113,Chansey,Rock,Ice,114,55,92
114,Tangela,Ghost,None,127,134,128
115,Kangaskhan,Bug,Grass,124,34,131
116,Horsea,Psychic,None,112,46,114
117,Seadra,Fairy,Psychic,80,74,106
118,Goldeen,Fire,None,61,63,121
119,Seaking,Dark,Fire,147,32,79
120,Staryu,Fire,None,86,46,141
121,Starmie,Rock,None,95,104,80
122,Mr. Mime,Ice,None,67,79,127
123,Scyther,Rock,Bug,81,67,126
124,Jynx,Rock,Ground,135,80,110
125,Electabuzz,Electric,Ghost,103,46,113
126,Magmar,Psychic,None,82,95,106
127,Pinsir,Fighting,Fairy,144,140,52
128,Tauros,Bug,Ice,147,45,37
129,Magikarp,Dark,None,54,96,125
130,Gyarados,Steel,None,80,48,50
131,Lapras,Steel,Normal,90,51,50
132,Ditto,Fire,None,41,119,75
133,Eevee,Ghost,None,74,56,102
134,Vaporeon,Rock,None,85,123,136
135,Jolteon,Bug,Grass,55,65,30
136,Flareon,Ghost,None,76,85,115
137,Porygon,Ground,Ghost,138,55,43
138,Omanyte,Dragon,None,136,140,138
139,Omastar,Ice,None,44,93,118
140,Kabuto,Psychic,Dark,68,86,46
141,Kabutops,Flying,Dark,42,113,54
142,Aerodactyl,Normal,None,138,47,140
143,Snorlax,Rock,None,140,37,69
144,Articuno,Flying,Psychic,130,35,81
145,Zapdos,Water,Normal,88,138,99
146,Moltres,Fire,Water,50,99,99
147,Dratini,Bug,Ice,104,91,91
148,Dragonair,Fairy,Grass,60,69,130
149,Dragonite,Ice,Rock,104,33,108
150,Mewtwo,Ghost,Steel,91,86,95
